CBD,LAT,LON,THK,SRF
689,-79.781006,-146.772995,9999,9999
690,-79.786499,-146.878906,9999,9999
691,-79.792007,-146.979401,9999,9999
692,-79.798904,-147.072998,9999,9999
693,-79.804306,-147.184402,9999,9999
694,-79.809799,-147.278,9999,9999
695,-79.816696,-147.374405,9999,9999
696,-79.823502,-147.476196,9999,9999
697,-79.829102,-147.576706,9999,9999
698,-79.833206,-147.677094,9999,9999
699,-79.838593,-147.781693,9999,9999
700,-79.844101,-147.879395,9999,9999
701,-79.848297,-147.982605,9999,9999
702,-79.853699,-148.084396,9999,9999
703,-79.859207,-148.182098,9999,9999
704,-79.863297,-148.282593,9999,9999
705,-79.867401,-148.384399,9999,9999
706,-79.872894,-148.486206,9999,9999
707,-79.877106,-148.590805,9999,9999
708,-79.883896,-148.695404,9999,9999
709,-79.888,-148.794403,9999,9999
